Demographic and Geographic Data,,,,,,,,,,,,Summary Data ,,,,,,,,,,,,,,,,,,,,,,,Renewable Power Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Renewable (Biofuel)  Fuel Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dispensing Data,
FIPS2,State ,STATE_NAME,State,COUNTY,County Type,"Historical Political Leaning (Red and Blue = 60% or more, other = Purple) - over 20 years",In an RPS State?,% Democratic Voting,County Continuum Code,Population,Total Land Area (sq mi),Average per Capita  State Total Electricty Consumed in MWH per person in 2022,Non Nuclear Renewables MWH Produced per Resident per year,Ratio of RE to Energy Consumed per capita per year,MW of Installed Renewable Power Capacity per Acre,Estimated Total County Electricity Consumed in MWH (2022),Estimated Renewable MWH Generated  per Year,Total Renewables Installed Capacity  (MWH) ,County Renewables Capacity Factor,Sq Miles per RP Asset/Site ,Total # of RP Types in County (of 15),Total Liquid Biofuels Production in barrels,2022 Per Capita Petroleum Product Consumption (in barrels),Est County Petroleum Consumption in 2022 (barrels),Ratio of Produced Liquid Biofuels to Consumed Petroleum Products ,Total # of Solid Biofuel Production Facitlities,Total # of Gaseous Biofuel Production Facilities,Total # of Biofuels Production Facilities,# of Types of Biofuel Facilities,2022 Per Capita NG Consumed (mcf),Est 2022 NG Consumed (mcf),Coal Production (2022 in thousand short tons),2022 Oil Production in Barrels,2022 NG Production (MCF),Installed Capacity of Battery Projects/Assets/ Sites (MW),Estimated MWh per year (5.7% Battery Capacity Factor per NREL ATB 2024),Installed Capacity of Conventional Hydro Projects/Assets/Sites (MW),Estimated MWh per year (34.2% CF),Installed Capacity of Flywheel Projects/Assets / Sites (MW),Installed Capacity of Geothermal Projects/Assets / Sites (MW),Estimated Geothermal MWh per year (70%),Installed Capacity of Hydroelectric Pumped Storage Projects/Assets/Sites (MW),Estimated MWh per year (@ 12.5% usage),Installed Capacity of Landfill Gas Projects/Assets/Sites (MW),Estimated LFG power in MWh per year (72% CF),Installed Capacity of MSW Projects/Assets/Sites (MW),Estimated MSW power in MWh per year (72%),Installed Capacity of Offshore Wind Projects/Assets/Sites (MW),Est. Offshore Wind Power in MWH per year (44% CF),Installed Capacity of Onshore Wind Projects/Assets/Sites (MW),Est Onshore Wind Power in MWh per year (35% CF),Installed Capacity of Other Waste Biomass Projects/Assets/Sites (MW),Est Other Waste Biomass Power in MWH per year (72% CF),Installed Capacity of RNG Digester Projects/Assets/Sites (MW),Est Power produced by RNG Digester in MWH per year ,Installed Capacity of Solar PV Projects/Assets/Sites (MW),Est Solar PV Generation MWh per year (23.3% CF),Installed Capacity of Solar Thermal with Energy Storage Projects/Assets/Sites (MW),Est Power Generation from Solar Thermal w ES in MWH (45% CF),Installed Capacity of Solar Thermal w/out Energy Storage Projects/Assets/Sites,Est Solar Thermal w/out ES in MWH per year (25% CF),Installed Capacity of Wood/Waste Biomass in MW Projects/Assets/Sites,Est Power Generation of Wood Biomass in MWH per year (53.8% CF),Estimated Produced MWH of Renewable Power (MWH),Total Renewables Installed Capacity  (MWH) ,County Renewables Capacity Factor,# of Battery Projects/Assets/Sites,# of Conventional Hydro Projects/Assets/Sites,# of Flywheel Projects/Assets / Sites,# of Geothermal Projects/Assets / Sites,# of Hydroelectric Pumped Storage Projects/Assets/Sites,# of Landfill Gas Projects/Assets/Sites,# of MSW Projects/Assets/Sites,# of Offshore Wind Projects/Assets/Sites,# of Onshore Wind Projects/Assets/Sites,# of Other Waste Biomass Projects/Assets/Sites,# of RNG Digester Projects/Assets/Sites,# of Solar PV Projects/Assets/Sites,# of Solar Thermal with Energy Storage Projects/Assets/Sites,# of Solar Thermal without Energy Storage Projects/Assets/Sites,# of Wood/Waste Biomass Projects/Assets/Sites,Total # of Renewable Power Projects/Assets/Sites,Sq Miles per RP Asset/Site ,Total # of RP Types in County (of 15),# of Plants Producing Densified Biomass (tons/yr),# of Plants Producting Alternative Jet Fuel (mmgal / yr),# of Plants Producing Biodiesel (mmgal /yr),# of Plants Producing Ethanol (mmgal/yr),# of Plants Producing Liquid Hydrogen (tons/yr),# of Plants Producing Renewable Diesel (mmgal / yr),# of Plants Producing Renewable Gasoline (mmgal  / yr),# of Plants Producing Renewable Naptha (mmgal / yr),# of Type of Liquid Biofuel Plants, Alternative Jet Fuel Production Capacity (mmgal / yr), Biodiesel Production Capacity (mmgal /yr), Densified Biomass Production Capacity (tons/yr), Ethanol Production Capacity (mmgal/yr), Liquid Hydrogen Production Capacity (tons/yr), Renewable Diesel Production Capacity (mmgal / yr), Renewable Gasoline Production Capacity (mmgal  / yr), Renewable Naptha Production Capacity (mmgal / yr),Total Liquid Biofuels Production (not Liquid Hydrogen or Densified Biomass),Total Liquid Biofuel Production in Barrels (in million barrels) ,Total Liquid Biofuels Production in barrels,2022 Per Capita Petroleum Product Consumption (in barrels),Est County Petroleum Consumption in 2022 (barrels),Ratio of Produced Liquid Biofuels to Consumed Petroleum Products ,Total Solids Biofuels Production (tons / yr),# of Dairy Manure Biogas Facilities,# of Swine Manure Biogas Facilities,# of Chicken Manure Biogas Facilities,# of Food Waste Biogas Facilities,# of Wastewater Treatment Biogas Facilities,# of Landfill Biogas Facilities,# of Types of RNG Facilities,Total # of Liquid Biofuel Producing Facilities,Total # of Solid Biofuel Production Facitlities,Total # of Gaseous Biofuel Production Facilities,Total # of Biofuels Production Facilities,# of Types of Biofuel Facilities,2022 Per Capita NG Consumed (mcf),Total # of Alternative Fuel Dispensing Points,Total # of Electricity (Charging) Dispensing Points
55021,WI,Wisconsin,Wisconsin,Columbia,"Metro - Counties in metro areas of 250,000 to 1 million population",PURPLE,Yes,51%,2," 58,490 ", 766 ,12,9,76%,0," 693,808 "," 528,249 ", 177 , 0 , 128 , 3 ," 1,488,095 ", 18 ," 1,070,367 ", 1 , -   , -   , -   , 1 , 101 ," 5,901,641 ",,0,0, 5 ," 2,497 ", 10 ," 29,060 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 162 ," 496,692 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 528,249 ", 177 ,34%,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,6,128,3,0,0,0,1,0,0,0,0,1,0,0,0,62.5,0,0,0,0,62.5, 1.5 ," 1,488,095.2 ",18.3," 1,070,367 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 101 , 4 , 5 
55023,WI,Wisconsin,Wisconsin,Crawford,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",PURPLE,Yes,53%,6," 16,113 ", 571 ,12,0,0%,0," 191,132 ", -   , -   , -   , -   , -   , -   , 18 ," 294,868 ", -   , -   , -   , -   , -   , 101 ," 1,625,802 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 294,868 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 2 , 8 
55025,WI,Wisconsin,Wisconsin,Dane,"Metro - Counties in metro areas of 250,000 to 1 million population",BLUE,Yes,70%,2," 561,504 "," 1,196 ",12,0,2%,0," 6,660,560 "," 139,273 ", 61 , 0 , 109 , 4 ," 666,667 ", 18 ," 10,275,523 ", 0 , -   , -   , -   , 1 , 101 ," 56,655,754 ",,0,0, 0 , 150 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10 ," 30,353 ", -   , -   , 1 ," 6,307 ", 50 ," 102,462 ", -   , -   , -   , -   , -   , -   ," 139,273 ", 61 ,26%,1,0,0,0,0,0,0,0,1,0,1,8,0,0,0,11,109,4,0,0,1,0,0,0,0,0,1,0,28,0,0,0,0,0,0,28, 0.7 ," 666,666.7 ",18.3," 10,275,523 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 101 , 34 , 300 
55027,WI,Wisconsin,Wisconsin,Dodge,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",RED,Yes,38%,4," 89,396 ", 876 ,12,6,54%,0," 1,060,415 "," 567,385 ", 184 , 0 , 219 , 2 , -   , 18 ," 1,635,947 ", -   , -   , -   , -   , -   , 101 ," 9,020,056 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 183 ," 561,078 ", -   , -   , 1 ," 6,307 ", -   , -   , -   , -   , -   , -   , -   , -   ," 567,385 ", 184 ,35%,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,219,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 1,635,947 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 6 , 10 
55029,WI,Wisconsin,Wisconsin,Door,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",PURPLE,Yes,50%,6," 30,066 ", 482 ,12,0,0%,0," 356,643 ", -   , -   , -   , -   , -   , -   , 18 ," 550,208 ", -   , -   , -   , -   , -   , 101 ," 3,033,659 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 550,208 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , -   , 50 
55031,WI,Wisconsin,Wisconsin,Douglas,"Metro - Counties in metro areas of 250,000 to 1 million population",BLUE,Yes,61%,2," 44,295 "," 1,304 ",12,0,0%,0," 525,427 ", -   , -   , -   , -   , -   , -   , 18 ," 810,599 ", -   , -   , -   , -   , -   , 101 ," 4,469,366 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 810,599 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 9 , -   
55033,WI,Wisconsin,Wisconsin,Dunn,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",PURPLE,Yes,48%,6," 45,440 ", 850 ,12,1,8%,0," 539,009 "," 42,502 ", 13 , 0 , 121 , 3 ," 1,666,667 ", 18 ," 831,552 ", 2 , -   , -   , -   , 1 , 101 ," 4,584,896 ",,0,0, -   , -   , 11 ," 34,153 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ," 6,307 ", 1 ," 2,041 ", -   , -   , -   , -   , -   , -   ," 42,502 ", 13 ,36%,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,7,121,3,0,0,0,1,0,0,0,0,1,0,0,0,70,0,0,0,0,70, 1.7 ," 1,666,666.7 ",18.3," 831,552 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 101 , 6 , 10 
55035,WI,Wisconsin,Wisconsin,Eau Claire,"Metro - Counties in metro areas of fewer than 250,000 population",PURPLE,Yes,54%,3," 105,710 ", 638 ,12,0,3%,0," 1,253,932 "," 36,850 ", 12 , 0 , 128 , 1 , -   , 18 ," 1,934,493 ", -   , -   , -   , -   , -   , 101 ," 10,666,139 ",,0,0, -   , -   , 12 ," 36,850 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 36,850 ", 12 ,34%,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 1,934,493 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 15 , 64 
55037,WI,Wisconsin,Wisconsin,Florence,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",RED,Yes,33%,9," 4,558 ", 488 ,12,12,98%,0," 54,067 "," 53,028 ", 18 , 0 , 70 , 1 , -   , 18 ," 83,411 ", -   , -   , 1 , 1 , 1 , 101 ," 459,902 ",,0,0, -   , -   , 18 ," 53,028 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 53,028 ", 18 ,34%,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 83,411 ",0%, -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 1 , 101 , -   , -   
55039,WI,Wisconsin,Wisconsin,Fond du Lac,"Metro - Counties in metro areas of fewer than 250,000 population",RED,Yes,39%,3," 104,154 ", 720 ,12,6,54%,0," 1,235,475 "," 667,407 ", 216 , 0 , 144 , 3 , -   , 18 ," 1,906,018 ", -   , -   , 1 , 1 , 1 , 101 ," 10,509,139 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 213 ," 652,751 ", -   , -   , 2 ," 12,614 ", 1 ," 2,041 ", -   , -   , -   , -   , -   , -   ," 667,407 ", 216 ,35%,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,5,144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 1,906,018 ",0%, -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , 1 , 1 , 101 , 5 , 32 
55041,WI,Wisconsin,Wisconsin,Forest,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",PURPLE,Yes,45%,9," 9,179 "," 1,014 ",12,0,0%,0," 108,881 ", -   , -   , -   , -   , -   , -   , 18 ," 167,976 ", -   , -   , 1 , 1 , 1 , 101 ," 926,161 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 167,976 ",0%, -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , 1 , 1 , 101 , -   , -   
55043,WI,Wisconsin,Wisconsin,Grant,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",PURPLE,Yes,50%,6," 51,938 "," 1,147 ",12,0,1%,0," 616,089 "," 8,164 ", 4 , 0 , 573 , 1 , -   , 18 ," 950,465 ", -   , -   , -   , -   , -   , 101 ," 5,240,544 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 ," 8,164 ", -   , -   , -   , -   , -   , -   ," 8,164 ", 4 ,23%,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 950,465 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 4 , 10 
55045,WI,Wisconsin,Wisconsin,Green,"Metro - Counties in metro areas of 250,000 to 1 million population",PURPLE,Yes,54%,2," 37,093 ", 584 ,12,0,0%,0," 439,997 ", -   , -   , -   , -   , -   ," 2,142,857 ", 18 ," 678,802 ", 3 , -   , 1 , 1 , 2 , 101 ," 3,742,684 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,90,0,0,0,0,90, 2.1 ," 2,142,857.1 ",18.3," 678,802 ",0%, -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 2 , 101 , 4 , 5 
55047,WI,Wisconsin,Wisconsin,Green Lake,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",RED,Yes,35%,6," 19,018 ", 350 ,12,1,7%,0," 225,592 "," 15,137 ", 2 , 1 , 117 , 1 , -   , 18 ," 348,029 ", -   , -   , -   , -   , -   , 101 ," 1,918,916 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 ," 15,137 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 15,137 ", 2 ,72%,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 348,029 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 101 , 1 , 2 
55049,WI,Wisconsin,Wisconsin,Iowa,"Metro - Counties in metro areas of 250,000 to 1 million population",PURPLE,Yes,59%,2," 23,709 ", 763 ,12,17,142%,0.24," 281,236 "," 398,142 ", 180 , 0 , 381 , 2 , -   , 18 ," 433,875 ", -   , -   , 1 , 1 , 1 , 101 ," 2,392,238 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 ," 91,980 ", -   , -   , -   , -   , 150 ," 306,162 ", -   , -   , -   , -   , -   , -   ," 398,142 ", 180 ,25%,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,381,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 433,875 ",0%, -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 1 , 101 , 1 , 2 
55051,WI,Wisconsin,Wisconsin,Iron,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area",PURPLE,Yes,46%,9," 6,137 ", 758 ,12,1,7%,0," 72,797 "," 4,793 ", 2 , 0 , 379 , 1 , -   , 18 ," 112,307 ", -   , -   , 5 , 5 , 2 , 101 ," 619,223 ",,0,0, -   , -   , 2 ," 4,793 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,793 ", 2 ,34%,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,379,1,1,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,0,0, -   , -   ,18.3," 112,307 ",0%," 5,000 ", 5 , -   , -   , -   , -   , -   , 1 , -   , -   , 5 , 5 , 2 , 101 , -   , -   
55053,WI,Wisconsin,Wisconsin,Jackson,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",PURPLE,Yes,51%,8," 21,145 ", 988 ,12,1,8%,0," 250,822 "," 20,595 ", 8 , 0 , 247 , 2 , -   , 18 ," 386,954 ", -   , -   , 1 , 2 , 1 , 101 ," 2,133,531 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ," 6,307 ", 7 ," 14,288 ", -   , -   , -   , -   , -   , -   ," 20,595 ", 8 ,29%,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4,247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 386,954 ",0%, -   , -   , -   , -   , -   , 1 , -   , 1 , 1 , -   , 1 , 2 , 1 , 101 , 1 , 20 
55055,WI,Wisconsin,Wisconsin,Jefferson,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",PURPLE,Yes,43%,4," 84,900 ", 556 ,12,0,4%,0," 1,007,084 "," 42,407 ", 7 , 1 , 62 , 2 ," 1,190,476 ", 18 ," 1,553,670 ", 1 , -   , 2 , 2 , 2 , 101 ," 8,566,410 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 ," 40,366 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ," 2,041 ", -   , -   , -   , -   , -   , -   ," 42,407 ", 7 ,65%,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,9,62,2,0,0,0,1,0,0,0,0,1,0,0,0,50,0,0,0,0,50, 1.2 ," 1,190,476.2 ",18.3," 1,553,670 ",0%, -   , 2 , -   , -   , -   , -   , -   , 1 , -   , -   , 2 , 2 , 2 , 101 , 4 , 13 
55057,WI,Wisconsin,Wisconsin,Juneau,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",PURPLE,Yes,45%,8," 26,718 ", 767 ,12,3,22%,0," 316,929 "," 71,144 ", 26 , 0 , 110 , 2 ," 2,523,810 ", 18 ," 488,939 ", 5 , -   , -   , 1 , 1 , 101 ," 2,695,846 ",,0,0, -   , -   , 20 ," 59,918 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 6 ," 11,226 ", -   , -   , -   , -   , -   , -   ," 71,144 ", 26 ,32%,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,7,110,2,0,0,0,1,0,0,0,0,1,0,0,0,106,0,0,0,0,106, 2.5 ," 2,523,809.5 ",18.3," 488,939 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 101 , -   , 6 
55059,WI,Wisconsin,Wisconsin,Kenosha,"Metro - Counties in metro areas of fewer than 250,000 population",PURPLE,Yes,52%,3," 169,151 ", 272 ,12,0,3%,0," 2,006,469 "," 55,503 ", 9 , 1 , 25 , 1 , -   , 18 ," 3,095,463 ", -   , -   , -   , -   , 1 , 101 ," 17,067,336 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , 9 ," 55,503 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 55,503 ", 9 ,72%,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,25,1,1,0,0,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0, -   , -   ,18.3," 3,095,463 ",0%," 50,000 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 101 , 11 , 42 
55061,WI,Wisconsin,Wisconsin,Kewaunee,"Metro - Counties in metro areas of 250,000 to 1 million population",PURPLE,Yes,43%,2," 20,563 ", 342 ,12,3,22%,0," 243,918 "," 52,648 ", 14 , 0 , 86 , 2 , -   , 18 ," 376,303 ", -   , -   , 9 , 10 , 2 , 101 ," 2,074,807 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 11 ," 33,726 ", -   , -   , 3 ," 18,922 ", -   , -   , -   , -   , -   , -   , -   , -   ," 52,648 ", 14 ,43%,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,4,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 376,303 ",0%, -   , 6 , -   , -   , -   , 3 , -   , 2 , 1 , -   , 9 , 10 , 2 , 101 , -   , 2 
55063,WI,Wisconsin,Wisconsin,La Crosse,"Metro - Counties in metro areas of fewer than 250,000 population",PURPLE,Yes,55%,3," 120,784 ", 452 ,12,1,10%,0," 1,432,740 "," 149,817 ", 32 , 0 , 151 , 2 , -   , 18 ," 2,210,347 ", -   , -   , 2 , 2 , 2 , 101 ," 12,187,106 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 ," 6,938 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 30 ," 142,879 "," 149,817 ", 32 ,3%,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,151,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 2,210,347 ",0%, -   , 1 , -   , -   , -   , 1 , -   , 2 , -   , -   , 2 , 2 , 2 , 101 , 10 , 45 
55065,WI,Wisconsin,Wisconsin,Lafayette,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area",PURPLE,Yes,51%,8," 16,611 ", 634 ,12,18,152%,0.15," 197,040 "," 300,468 ", 98 , 0 , 634 , 1 , -   , 18 ," 303,981 ", -   , -   , 1 , 1 , 1 , 101 ," 1,676,050 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 98 ," 300,468 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 300,468 ", 98 ,35%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 303,981 ",0%, -   , 1 , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , 1 , 1 , 101 , -   , -   
55067,WI,Wisconsin,Wisconsin,Langlade,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",PURPLE,Yes,41%,6," 19,491 ", 871 ,12,0,0%,0," 231,202 ", -   , -   , -   , -   , -   , -   , 18 ," 356,685 ", -   , -   , 1 , 1 , 1 , 101 ," 1,966,642 ",,0,0, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 356,685 ",0%, -   , -   , -   , -   , -   , 1 , -   , 1 , -   , -   , 1 , 1 , 1 , 101 , 2 , 2 
55069,WI,Wisconsin,Wisconsin,Lincoln,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area",PURPLE,Yes,46%,6," 28,415 ", 879 ,12,6,48%,0," 337,059 "," 161,570 ", 45 , 0 , 59 , 2 , -   , 18 ," 519,995 ", -   , -   , -   , 1 , -   , 101 ," 2,867,074 ",,0,0, -   , -   , 29 ," 87,780 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 16 ," 73,789 "," 161,570 ", 45 ,22%,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,15,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,18.3," 519,995 ",0%, -   , -   , -   , -   , -   , -   , -   , -   , 1 , -   , -   , 1 , -   , 101 , 2 , 5 
